YEAR,MO,DY,HR,RH2M,PRECTOTCORR,WS50M,WS10M,ALLSKY_KT
2019,4,6,13,72.0,0.02,9.97,8.1,0.48
2019,4,6,14,77.31,0.03,8.24,6.66,0.42
2019,4,6,15,80.69,0.02,6.71,5.4,0.39
2019,4,6,16,86.56,0.03,5.02,3.72,0.34
2019,4,6,17,94.06,0.03,4.28,2.22,0.32
2019,4,6,18,96.75,0.09,4.72,2.28,-999.0
2019,4,6,19,98.62,0.08,5.0,2.41,-999.0
2019,4,6,20,100.0,0.05,5.05,2.48,-999.0
2019,4,6,21,100.0,0.02,4.91,2.55,-999.0
2019,4,6,22,100.0,0.01,4.72,2.6,-999.0
2019,4,6,23,100.0,0.01,4.56,2.69,-999.0
2019,4,7,0,100.0,0.0,3.93,2.46,-999.0
2019,4,7,1,100.0,0.0,2.93,1.94,-999.0
2019,4,7,2,100.0,0.01,2.39,1.56,-999.0
2019,4,7,3,100.0,0.01,2.42,1.48,-999.0
2019,4,7,4,100.0,0.01,2.5,1.56,-999.0
2019,4,7,5,100.0,0.02,2.83,1.73,0.34
2019,4,7,6,97.75,0.09,3.61,2.12,0.32
2019,4,7,7,94.19,0.14,3.71,3.03,0.34
2019,4,7,8,88.38,0.08,4.99,4.1,0.42
2019,4,7,9,80.56,0.04,6.41,5.41,0.29
2019,4,7,10,76.31,0.04,7.13,6.12,0.15
2019,4,7,11,73.31,0.04,7.49,6.44,0.21
2019,4,7,12,70.81,0.09,6.94,5.99,0.26
2019,4,7,13,69.12,0.2,6.21,5.4,0.27
2019,4,7,14,68.88,0.15,6.95,6.0,0.33
2019,4,7,15,74.31,0.07,6.53,5.4,0.25
2019,4,7,16,81.0,0.08,5.47,4.34,0.2
2019,4,7,17,90.0,0.06,4.71,2.96,0.25
2019,4,7,18,94.69,0.25,4.53,2.34,-999.0
2019,4,7,19,95.81,0.23,4.27,2.2,-999.0
2019,4,7,20,96.69,0.25,4.25,2.16,-999.0
2019,4,7,21,99.06,0.15,4.02,2.09,-999.0
2019,4,7,22,100.0,0.06,3.73,2.03,-999.0
2019,4,7,23,100.0,0.02,3.84,2.1,-999.0
2019,4,8,0,100.0,0.02,4.1,2.23,-999.0
2019,4,8,1,100.0,0.03,4.32,2.37,-999.0
2019,4,8,2,100.0,0.03,4.41,2.4,-999.0
2019,4,8,3,100.0,0.04,4.34,2.85,-999.0
2019,4,8,4,100.0,0.05,3.98,2.92,-999.0
2019,4,8,5,100.0,0.05,3.52,2.6,0.38
2019,4,8,6,95.81,0.04,3.04,2.69,0.53
2019,4,8,7,90.19,0.03,3.24,2.9,0.62
2019,4,8,8,76.12,0.07,4.65,4.03,0.67
2019,4,8,9,67.19,0.05,5.48,4.82,0.72
2019,4,8,10,62.88,0.09,6.24,5.49,0.65
2019,4,8,11,60.62,0.16,6.99,6.13,0.6
2019,4,8,12,59.19,0.21,7.62,6.64,0.52
2019,4,8,13,58.56,0.21,8.09,7.0,0.45
2019,4,8,14,58.69,0.16,8.35,7.09,0.36
2019,4,8,15,59.19,0.08,8.13,6.75,0.5
2019,4,8,16,62.69,0.04,7.36,5.76,0.44
2019,4,8,17,77.62,0.02,6.33,3.42,0.3
2019,4,8,18,86.69,0.01,5.88,3.04,-999.0
2019,4,8,19,88.69,0.02,5.49,2.95,-999.0
2019,4,8,20,90.56,0.05,5.17,2.85,-999.0
2019,4,8,21,93.81,0.04,5.16,2.85,-999.0
2019,4,8,22,98.81,0.02,5.38,2.97,-999.0
2019,4,8,23,100.0,0.02,5.98,3.14,-999.0
2019,4,9,0,100.0,0.02,5.98,3.18,-999.0
2019,4,9,1,100.0,0.04,5.17,3.01,-999.0
2019,4,9,2,100.0,0.04,4.58,2.78,-999.0
2019,4,9,3,100.0,0.04,4.34,2.58,-999.0
2019,4,9,4,100.0,0.04,4.23,2.44,-999.0
2019,4,9,5,100.0,0.04,4.11,3.23,0.34
2019,4,9,6,97.12,0.05,4.05,3.62,0.36
2019,4,9,7,93.75,0.04,4.3,3.73,0.45
2019,4,9,8,76.5,0.01,6.83,5.54,0.52
2019,4,9,9,60.31,0.0,8.42,7.11,0.6
2019,4,9,10,56.5,0.0,8.1,7.0,0.56
2019,4,9,11,55.0,0.0,7.73,6.71,0.39
